iter	RMSE
0	0.1345570573
1	0.1277913729
2	0.1215056783
3	0.1154096881
4	0.1097241065
5	0.104548237
6	0.0997335111
7	0.09518316256
8	0.09088371025
9	0.08697329283
10	0.08342227954
11	0.08007851518
12	0.07701974433
13	0.07411647159
14	0.07144613828
15	0.06898791055
16	0.06662910123
17	0.0644876173
18	0.06252078309
19	0.06074785661
20	0.05914350747
21	0.05769217092
22	0.05631432213
23	0.05505464309
24	0.05387801393
25	0.05278509431
26	0.05180778383
27	0.05090397894
28	0.0500969545
29	0.04928964222
30	0.04859331031
31	0.04794885115
32	0.04737232914
33	0.04680718927
34	0.04626624284
35	0.04578144516
36	0.04532596722
37	0.04491615527
38	0.04454170379
39	0.04413652431
40	0.04382195599
41	0.04344573148
42	0.04316535657
43	0.04284650241
44	0.04255655754
45	0.04230625067
46	0.04209927871
47	0.04185860225
48	0.04162500688
49	0.04140524544
50	0.04122613307
51	0.04106950732
52	0.04086106695
53	0.040684055
54	0.04051156059
55	0.04034832297
56	0.04024520157
57	0.040111069
58	0.03998364387
59	0.03986323997
60	0.03973632437
61	0.03961812089
62	0.03947403098
63	0.03935121969
64	0.03924766213
65	0.03913809046
66	0.0390365227
67	0.03896056602
68	0.03889414776
69	0.03882877811
70	0.03873140659
71	0.03863659425
72	0.03854755023
73	0.03847209034
74	0.03837661101
75	0.03832293539
76	0.03828070374
77	0.03822598029
78	0.03815360421
79	0.03805679458
80	0.03800666179
81	0.0379378169
82	0.03788873368
83	0.03786145887
84	0.03781115044
85	0.0377707406
86	0.03771091247
87	0.03764476714
88	0.03761471265
89	0.03756001676
90	0.03749638952
91	0.03744121049
92	0.03736971691
93	0.03731257214
94	0.03726906296
95	0.03721147138
96	0.03716743023
97	0.03709303799
98	0.03703995868
99	0.03696893069
100	0.03692973188
101	0.03686755643
102	0.03684222566
103	0.0367696521
104	0.03670682827
105	0.03667294114
106	0.03662656867
107	0.03656800359
108	0.03649476932
109	0.0364456019
110	0.03642266079
111	0.03638033143
112	0.03634519218
113	0.03631940633
114	0.03627899972
115	0.03621566932
116	0.03618543034
117	0.03612771486
118	0.03609094534
119	0.03605192057
120	0.03601069489
121	0.03597575648
122	0.03595200786
123	0.0359252713
124	0.03589933424
125	0.03588049139
126	0.03585065908
127	0.03582516
128	0.03575997308
129	0.0357319408
130	0.03571374678
131	0.03568484996
132	0.03564451402
133	0.03560659246
134	0.03556304612
135	0.03551543188
136	0.03547963253
137	0.03544949868
138	0.03541783822
139	0.03540118586
140	0.03536997403
141	0.03533723
142	0.03530704176
143	0.03526644311
144	0.03525823558
145	0.035238407
146	0.03519921287
147	0.03518187366
148	0.035143589
149	0.03508403456
150	0.03506611741
151	0.0350257652
152	0.0350039539
153	0.0349831879
154	0.03494378567
155	0.03491571038
156	0.03487297459
157	0.03484676646
158	0.034819578
159	0.03480709027
160	0.03473828839
161	0.03472310264
162	0.03468468901
163	0.03463281454
164	0.0345901758
165	0.03457688221
166	0.03454546253
167	0.03449784722
168	0.03446006235
169	0.03444090742
170	0.0344232432
171	0.03439668247
172	0.03438503435
173	0.03435508734
174	0.03433656527
175	0.03431202417
176	0.03427209978
177	0.03425917774
178	0.03420514352
179	0.03418153301
180	0.03417430101
181	0.03416353697
182	0.03415913016
183	0.0341388133
184	0.03411694884
185	0.03410055591
186	0.03406357487
187	0.03403016083
188	0.03399968744
189	0.03397019932
190	0.03392023752
191	0.03388707067
192	0.03385151481
193	0.03384711332
194	0.03381652826
195	0.03379517154
196	0.03376046398
197	0.0337345235
198	0.03373436169
199	0.03372379953
200	0.03371741265
201	0.03370037954
202	0.03366267539
203	0.03363879976
204	0.03362820103
205	0.03361894501
206	0.0335902246
207	0.033573378
208	0.03356276709
209	0.03354171601
210	0.03353272678
211	0.03352386589
212	0.03351502767
213	0.03348624856
214	0.03345033995
215	0.03343048483
216	0.0334026854
217	0.03338999671
218	0.03337434372
219	0.03335442909
220	0.03332335495
221	0.03330854495
222	0.03330321261
223	0.03329449919
224	0.03328367611
225	0.03327094904
226	0.03325552975
227	0.03323718077
228	0.0332167128
229	0.03319069015
230	0.03316899018
231	0.03314600882
232	0.03312372688
233	0.03310004886
234	0.03309087157
235	0.0330656257
236	0.03303630925
237	0.03299697703
238	0.0329775285
239	0.03295201186
240	0.03294721128
241	0.03293176769
242	0.03290989425
243	0.03288774184
244	0.03287999621
245	0.03286794175
246	0.03283251134
247	0.03282530506
248	0.03279924067
249	0.03278623752
250	0.03276658519
251	0.03274696194
252	0.03272099174
253	0.03268671976
254	0.03265387851
255	0.03263846135
256	0.03261148897
257	0.03260364755
258	0.03258359163
259	0.03255659701
260	0.03255626655
261	0.03254831453
262	0.03254112337
263	0.03252310291
264	0.03251354478
265	0.032491476
266	0.03247180081
267	0.03245144702
268	0.03242611375
269	0.03240522436
270	0.03239713358
271	0.03236173863
272	0.03235289964
273	0.03233657408
274	0.03231246588
275	0.03228785014
276	0.03227526203
277	0.03226367064
278	0.03224851178
279	0.03223069586
280	0.03220862785
281	0.03219117185
282	0.03218195606
283	0.03214382693
284	0.03212982995
285	0.03211480637
286	0.03209144053
287	0.03207818828
288	0.03207253026
289	0.03206290321
290	0.03205554053
291	0.03204573386
292	0.03202948418
293	0.03202620083
294	0.03200886672
295	0.03200227759
296	0.0319871116
297	0.03197793388
298	0.03196454219
299	0.03194613819
300	0.03193943315
301	0.0319259015
302	0.03191184942
303	0.03189344747
304	0.03187351619
305	0.03185467403
306	0.03183289685
307	0.03181763846
308	0.03177647992
309	0.03175611745
310	0.03175019529
311	0.03173922789
312	0.03172962368
313	0.03172240754
314	0.03171391612
315	0.03169854779
316	0.03168936168
317	0.03167895717
318	0.03165976869
319	0.03164062107
320	0.03161753948
321	0.0316037344
322	0.03158764136
323	0.03157197828
324	0.03155451049
325	0.03153699336
326	0.03152479301
327	0.03150222632
328	0.03149371182
329	0.03148607956
330	0.03147165356
331	0.03145818802
332	0.03143232164
333	0.03142488213
334	0.03140404225
335	0.03140048359
336	0.0313799757
337	0.03137732448
338	0.03137168103
339	0.03134162032
340	0.03132201209
341	0.03131138337
342	0.0312911287
343	0.03128043939
344	0.0312635483
345	0.03124140814
346	0.03123557202
347	0.03122318192
348	0.03120420551
349	0.03118272807
350	0.03117705899
351	0.03116165571
352	0.03114851463
353	0.03112924182
354	0.03111532551
355	0.03110014203
356	0.03108084723
357	0.03106306913
358	0.03105071983
359	0.03104192155
360	0.03102631385
361	0.0310175549
362	0.03101683233
363	0.03098289843
364	0.03096638102
365	0.03095711018
366	0.03094827099
367	0.03094303398
368	0.03092034166
369	0.03091557834
370	0.03090597634
371	0.03089101496
372	0.03088354614
373	0.03087717742
374	0.03086003518
375	0.03083700453
376	0.03082933583
377	0.03081657229
378	0.03081181533
379	0.0308004747
380	0.03078935929
381	0.03078021968
382	0.03077723038
383	0.0307616269
384	0.03074789351
385	0.03073519741
386	0.03072597606
387	0.03070789864
388	0.0307077141
389	0.03070393772
390	0.03069718566
391	0.03067844651
392	0.03066317066
393	0.03063823212
394	0.03061716181
395	0.03060178821
396	0.03059119582
397	0.03058083759
398	0.03056383687
399	0.03055070788
400	0.03054537392
401	0.03053061348
402	0.03051787097
403	0.03050027078
404	0.03048340642
405	0.03046685645
406	0.03046530848
407	0.03045578154
408	0.03044561073
409	0.03044033678
410	0.030432533
411	0.03043095422
412	0.03043080465
413	0.03040926353
414	0.03038373399
415	0.03037651518
416	0.03036271981
417	0.03035959487
418	0.03034575663
419	0.03034010224
420	0.03033144699
421	0.03032237186
422	0.03030971229
423	0.03029704864
424	0.03029094396
425	0.03028040004
426	0.03026875768
427	0.0302513634
428	0.03023687617
429	0.03023404585
430	0.0302192169
431	0.03021313809
432	0.0302048599
433	0.03019497853
434	0.03018895918
435	0.03017762871
436	0.03017207163
437	0.03016803508
438	0.03016377011
439	0.0301592135
440	0.03014742177
441	0.0301407475
442	0.03013395377
443	0.0301212961
444	0.03010995706
445	0.03010600818
446	0.0300823742
447	0.03007187829
448	0.03006327977
449	0.03004510452
450	0.03002603865
451	0.03001961344
452	0.03001502235
453	0.03001360128
454	0.03000502899
455	0.03000067735
456	0.02999592758
457	0.02998871155
458	0.02997686367
459	0.02997438106
460	0.02996388006
461	0.02995607464
462	0.02995330755
463	0.02994801841
464	0.02993818152
465	0.02992348191
466	0.02991257934
467	0.02989965444
468	0.02989483602
469	0.02988113849
470	0.02987344749
471	0.02987004224
472	0.02986530492
473	0.02985648069
474	0.02984369531
475	0.02982958039
476	0.02982555112
477	0.02981966547
478	0.02981580049
479	0.02980948498
480	0.02979913381
481	0.02979509536
482	0.02978374921
483	0.02976645006
484	0.02975094009
485	0.02973516392
486	0.02972922674
487	0.02971796491
488	0.02970821259
489	0.02969241071
490	0.02968122086
491	0.02966912413
492	0.02966385614
493	0.02966091124
494	0.02965134334
495	0.02964759133
496	0.02963558251
497	0.0296262233
498	0.02961921472
499	0.02961458058
500	0.02959758955
501	0.02958456144
502	0.02958315356
503	0.02957323491
504	0.02957043342
505	0.02956938439
506	0.02955025995
507	0.02954502573
508	0.02953794331
509	0.02952864194
510	0.0295245569
511	0.02950894909
512	0.02950178837
513	0.0294931829
514	0.02948337098
515	0.02947286056
516	0.02946496796
517	0.02946054017
518	0.02945157798
519	0.02944602723
520	0.02943710617
521	0.02943033116
522	0.02941591859
523	0.02940273152
524	0.0293923975
525	0.02937733553
526	0.02937355263
527	0.0293640021
528	0.02936102631
529	0.02934606649
530	0.02934031154
531	0.02933868977
532	0.02933371521
533	0.02932998056
534	0.02932366288
535	0.02930494178
536	0.02929401968
537	0.0292839166
538	0.02927022939
539	0.02926176693
540	0.02925340014
541	0.02924979253
542	0.02924607857
543	0.02923434507
544	0.02922139273
545	0.02921855059
546	0.02921074605
547	0.02920733049
548	0.02920148927
549	0.02919855203
550	0.0291964662
551	0.02918664599
552	0.02918058314
553	0.02917006913
554	0.02916775444
555	0.02915749538
556	0.02915114543
557	0.02914312909
558	0.02913834941
559	0.02912736003
560	0.02911707278
561	0.02910801354
562	0.02910278461
563	0.02909373425
564	0.02908654786
565	0.0290776673
566	0.02906983547
567	0.02906171432
568	0.02906004332
569	0.02904300328
570	0.02903644567
571	0.02902211069
572	0.0290204239
573	0.02901350117
574	0.02900499737
